股票代码,股票名称,行业,收盘价,涨跌幅%,量比,走势类型,趋势强度,中枢位置,中枢上沿ZG,中枢下沿ZD,笔方向,线段方向,买点类型,买点置信度,卖点类型,卖点置信度,二买确认,二买置信度,双级确认买,双级确认卖,信号级别,买入强度,卖出强度,底背驰,顶背驰,均线排列,均线破位,量异常,笔趋势耗尽,综合评分,机会等级,风险等级,止损价
301180,万祥科技,电子,17.82,-3.05,0.69,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,16.57
600051,宁波联合,消费,7.45,-2.61,0.87,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,6.93
600278,东方创业,消费,7.05,-1.81,1.05,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,6.56
600468,百利电气,电力设备,7.45,-1.97,0.86,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,6.93
600785,新华百货,消费,17.32,-4.73,1.02,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,16.11
600859,王府井,消费,11.62,-1.78,0.99,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,10.81
600874,创业环保,环保/公用,5.95,-1.98,1.54,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",放量,,0.05,D,高危,5.53
600981,苏豪汇鸿,消费,2.69,-1.47,1.03,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,2.5
601116,三江购物,消费,12.97,-3.78,1.38,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,12.06
920564,天润科技,互联网/软件,24.32,0.29,0.35,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",缩量,,0.05,D,高危,22.62
920651,天罡股份,自动化/制造,26.1,-0.38,0.49,上涨趋势,0.8,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.05,D,高危,24.27
600512,腾达建设,基建/地产/石油石化,2.28,-1.72,0.78,盘整,0.3,中枢上,,,-,-,B3(三买),0.81,-,,,,是,,线段级,0.612,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.0442,D,高危,2.2
300856,科思股份,化工,14.28,-2.39,1.43,下跌趋势,0.65,中枢上,,,-,-,B3(三买),0.679,-,,,,是,,线段级,0.586,,,,0.0,,,,0.035,D,安全,13.28
000066,中国长城,通信/计算机,20.5,-9.57,1.72,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",放量,,0.03,D,高危,19.06
000155,川能动力,电力设备,15.83,0.51,0.45,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,14.72
000537,绿发电力,电力设备,10.55,-3.3,0.9,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,9.81
000826,,环保/公用,2.32,4.98,1.02,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,2.16
000925,众合科技,自动化/制造,9.59,-10.04,1.28,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,8.92
000951,中国重汽,新能源车/风电,22.24,-1.51,0.5,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,20.68
000980,众泰汽车,新能源车/风电,2.67,-2.2,0.77,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,2.48
000990,诚志股份,化工,11.2,-0.09,0.46,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,10.42
000995,皇台酒业,消费,14.54,-1.82,2.78,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,13.52
001228,永泰运,交运,30.53,1.5,0.91,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA20, 跌破MA60",,,0.03,D,高危,28.39
001337,四川黄金,有色/钢铁/煤炭,54.22,-4.69,0.97,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,50.42
002044,美年健康,医药,6.23,1.63,1.54,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,5.79
002176,江特电机,电力设备,13.45,-2.89,0.59,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,12.51
002192,融捷股份,有色/钢铁/煤炭,91.66,-1.48,0.81,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,85.24
002217,合力泰,电子,3.09,-8.04,1.34,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,2.87
002285,世联行,基建/地产/石油石化,3.11,-2.81,0.67,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,2.89
002291,遥望科技,传媒,6.8,4.29,2.62,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,6.32
002342,巨力索具,自动化/制造,19.43,-2.41,0.61,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,18.07
002451,摩恩电气,电力设备,9.69,-0.72,0.9,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,,,0.03,D,安全,9.01
002463,沪电股份,电子,102.99,-3.77,0.83,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,95.78
002565,顺灏股份,环保/公用,18.8,2.4,0.63,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,17.48
002596,海南瑞泽,建材,3.92,-1.26,1.02,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,3.65
002685,华东重机,自动化/制造,8.72,0.11,0.59,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,8.11
002799,环球印务,环保/公用,8.77,1.86,1.24,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,8.16
002812,恩捷股份,新能源车/风电,76.45,0.88,0.7,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,71.1
002825,纳尔股份,化工,10.78,2.37,1.3,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,10.03
002843,泰嘉股份,自动化/制造,26.16,-7.07,1.06,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,24.33
002973,侨银股份,环保/公用,13.92,-0.36,2.71,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,12.95
002998,优彩资源,化工,9.35,-1.16,0.72,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,8.7
003025,思进智能,自动化/制造,14.54,2.39,1.68,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,13.52
300007,汉威科技,自动化/制造,47.05,6.5,2.41,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,43.76
300067,安诺其,化工,6.92,-1.14,0.66,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,6.44
300097,智云股份,自动化/制造,10.37,-2.26,0.54,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,9.64
300155,安居宝,通信/计算机,5.15,-0.77,1.06,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,4.79
300200,高盟新材,化工,11.47,2.96,2.21,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,10.67
300461,田中精机,自动化/制造,53.97,2.08,1.15,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,50.19
300490,华自科技,电力设备,19.18,-4.91,0.78,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,17.84
300552,万集科技,通信/计算机,28.92,-1.33,1.1,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,26.9
300696,爱乐达,军工,39.07,-6.93,1.09,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,36.34
300758,七彩化学,化工,14.56,0.76,1.5,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,13.54
300880,迦南智能,电力设备,23.05,-2.74,0.76,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,21.44
300890,翔丰华,新能源车/风电,37.87,-1.51,0.68,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,35.22
300978,东箭科技,新能源车/风电,11.43,2.97,3.8,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,10.63
301070,开勒股份,自动化/制造,96.6,-7.12,1.22,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,89.84
301076,新瀚新材,化工,43.18,4.91,2.98,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,40.16
301077,星华新材,化工,30.36,0.96,0.4,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,28.23
301159,三维天地,互联网/软件,39.85,0.38,1.14,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,,,0.03,D,安全,37.06
301171,易点天下,传媒,43.7,9.41,2.05,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,40.64
301289,国缆检测,消费,55.8,-0.36,0.74,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,51.89
301373,凌玮科技,化工,122.58,-14.28,1.3,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,114.0
301376,致欧科技,消费,18.48,4.17,1.18,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,17.19
301517,陕西华达,电子,67.47,-0.31,0.52,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,62.75
301591,肯特股份,化工,47.04,4.19,3.09,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,43.75
600066,宇通客车,新能源车/风电,32.79,-0.64,0.79,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,30.49
600133,东湖高新,环保/公用,9.25,-4.15,1.52,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,8.6
600152,维科技术,新能源车/风电,13.73,3.23,0.79,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,12.77
600227,赤天化,化工,3.66,1.1,0.8,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,3.4
600234,科新发展,建材,26.55,-5.18,0.81,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,24.69
600310,广西能源,电力设备,5.1,-1.54,0.84,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,4.74
600312,平高电气,电力设备,21.59,-2.88,1.08,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,20.08
600527,江南高纤,消费,2.89,-0.69,0.69,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,2.69
600698,湖南天雁,新能源车/风电,7.88,3.68,2.24,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,7.33
600770,综艺股份,消费,7.17,-5.91,0.85,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,6.67
600776,东方通信,通信/计算机,16.98,-1.96,0.67,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,15.79
600815,厦工股份,自动化/制造,4.3,-1.15,0.55,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,4.0
600969,郴电国际,电力设备,10.42,-2.07,0.85,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,9.69
600982,宁波能源,电力设备,6.29,-4.84,1.1,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,5.85
600986,浙文互联,传媒,10.51,0.48,0.93,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,9.77
601096,宏盛华源,基建/地产/石油石化,5.58,-2.62,1.18,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,5.19
601225,陕西煤业,有色/钢铁/煤炭,23.86,2.23,1.02,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA20, 跌破MA60",,,0.03,D,高危,22.19
603032,德新科技,新能源车/风电,22.66,0.35,0.76,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,21.07
603082,北自科技,自动化/制造,42.3,10.01,8.6,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,39.34
603132,金徽股份,有色/钢铁/煤炭,18.9,-4.55,1.14,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,17.58
603171,税友股份,互联网/软件,57.46,0.23,0.54,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,53.44
603179,新泉股份,新能源车/风电,74.31,4.96,1.69,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,69.11
603308,应流股份,自动化/制造,73.74,-0.89,0.76,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,68.58
603662,柯力传感,自动化/制造,64.02,6.01,2.98,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,倍量,,0.03,D,安全,59.54
603685,晨丰科技,电子,32.43,-2.11,0.62,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,30.16
603879,永悦科技,化工,5.78,-1.03,0.91,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,5.38
603901,永创智能,自动化/制造,13.02,2.52,1.06,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.03,D,安全,12.11
603909,建发合诚,基建/地产/石油石化,11.88,-1.16,0.34,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",缩量,,0.03,D,高危,11.05
603989,艾华集团,电子,20.0,-2.44,0.87,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,18.6
603997,继峰股份,新能源车/风电,13.62,3.03,1.54,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,12.67
605056,咸亨国际,自动化/制造,24.06,0.75,0.57,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,22.38
605086,龙高股份,建材,33.69,-3.93,2.32,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,放量,,0.03,D,安全,31.33
605366,宏柏新材,化工,11.8,-3.36,1.98,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",放量,,0.03,D,高危,10.97
605376,博迁新材,有色/钢铁/煤炭,123.0,1.44,0.82,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,114.39
688106,,电子,34.08,-2.32,1.31,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,31.69
688188,,通信/计算机,142.63,0.6,2.15,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,132.65
688259,,半导体/光伏,39.85,0.08,1.55,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,37.06
688305,,自动化/制造,60.91,0.73,2.34,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,56.65
688334,,消费,21.0,0.57,1.1,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,,,0.03,D,安全,19.53
688336,,医药,73.07,-0.16,0.56,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20",,,0.03,D,高危,67.96
688466,,环保/公用,18.63,1.47,1.81,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,17.33
688468,,医药,7.58,1.2,1.63,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,7.05
688489,,通信/计算机,40.8,2.03,1.81,-,0.0,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,37.94
688568,,互联网/软件,59.69,5.37,1.57,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,放量,,0.03,D,安全,55.51
688628,,自动化/制造,85.22,-0.91,0.64,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,79.25
688729,,半导体/光伏,24.1,2.08,2.05,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.03,D,安全,22.41
688777,,自动化/制造,75.94,-3.63,0.9,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.03,D,高危,70.62
001369,双欣材料,化工,15.63,0.51,0.83,盘整,0.3,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,,,0.0175,D,安全,14.54
001396,誉帆科技,基建/地产/石油石化,51.1,-0.78,0.71,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,,,0.0175,D,安全,47.52
688795,,半导体/光伏,739.1,3.27,1.82,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,放量,,0.0175,D,安全,687.36
688796,,医药,96.88,-0.66,0.92,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,,,0.0175,D,安全,90.1
688809,,半导体/光伏,427.5,-3.91,0.77,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,,,0.0175,D,安全,397.57
920035,DR精创电,自动化/制造,30.95,1.74,0.63,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.35,,,,0.0175,D,安全,28.78
000001,平安银行,金融,10.99,-0.54,0.96,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,10.22
000029,深深房Ａ,基建/地产/石油石化,28.91,3.21,1.8,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,放量,,0.0,D,安全,26.89
000036,华联控股,基建/地产/石油石化,5.71,-1.21,0.8,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,5.31
000159,国际实业,基建/地产/石油石化,6.9,0.15,4.34,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,倍量,,0.0,D,安全,6.42
000400,许继电气,电力设备,26.36,-0.64,0.85,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,,,0.0,D,安全,24.51
000517,荣安地产,基建/地产/石油石化,1.98,-1.49,0.67,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,1.84
000526,学大教育,传媒,34.09,-0.84,0.54,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.0,D,安全,31.7
000565,渝三峡Ａ,化工,8.25,-0.96,1.03,盘整,0.3,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,7.67
000582,北部湾港,交运,12.01,-1.64,1.1,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,11.17
000636,风华高科,电子,27.0,-4.29,0.87,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,25.11
000651,格力电器,消费,40.28,0.15,1.02,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,37.46
000670,盈方微,电子,8.2,-0.85,1.15,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,7.63
000678,襄阳轴承,新能源车/风电,13.45,2.05,2.36,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.0,D,安全,12.51
000725,京东方Ａ,电子,4.14,-1.9,1.29,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,3.85
000783,长江证券,金融,8.46,-1.51,1.1,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,7.87
000795,英洛华,有色/钢铁/煤炭,9.34,0.65,1.28,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.0,D,安全,8.69
000802,北京文化,传媒,5.16,2.79,0.97,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,4.8
000813,德展健康,医药,3.96,0.76,1.45,盘整,0.3,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,3.68
000819,岳阳兴长,基建/地产/石油石化,16.16,-5.39,1.23,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,15.03
000823,超声电子,电子,16.28,-3.33,1.09,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,15.14
000848,承德露露,消费,8.93,-0.33,0.72,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,8.3
000863,三湘印象,基建/地产/石油石化,5.62,6.04,1.27,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,5.23
000885,城发环境,环保/公用,13.78,-1.64,1.05,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,12.82
000895,双汇发展,消费,26.58,-0.86,0.79,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA20,,,0.0,D,安全,24.72
000921,海信家电,消费,24.46,3.82,1.61,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,放量,,0.0,D,安全,22.75
000936,华西股份,化工,7.85,-2.0,0.94,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,7.3
000988,华工科技,自动化/制造,133.98,-2.49,0.92,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,124.6
000997,新 大 陆,通信/计算机,22.45,0.45,1.38,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.0,D,安全,20.88
001202,炬申股份,交运,16.8,-0.36,1.31,盘整,0.3,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.0,D,安全,15.62
001306,夏厦精密,自动化/制造,71.81,4.0,1.77,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.0,D,安全,66.78
001308,康冠科技,电子,20.6,-0.72,1.11,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.0,D,安全,19.16
001389,广合科技,电子,180.68,-2.86,0.66,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.0,D,安全,168.03
